state_fid,beta,,0,,,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,,,13,,,14,,,15,,,16,,,17,,,18,,,19,
0.25,0,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta,,state_fid,beta
0.171773489,0.44,,0.21467465,0.43,,0.239664605,0.43,,0.199710525,0.43,,0.231920829,0.43,,0.242573005,0.43,,0.243669013,0.43,,0.261191011,0.43,,0.154618778,0.43,,0.139381797,0.43,,0.252249054,0.43,,0.151880761,0.43,,0.229653649,0.43,,0.097132634,0.43,,0.150807502,0.43,,0.224122036,0.43,,0.217409539,0.43,,0.156749841,0.43,,0.229276045,0.43,,0.181649067,0.43,,0.213104851,0.43
0.169369807,0.45,,0.217510848,0.44,,0.221655169,0.44,,0.217208732,0.44,,0.165924616,0.44,,0.265919874,0.44,,0.261171533,0.44,,0.145160243,0.44,,0.182758872,0.44,,0.10653806,0.44,,0.164365266,0.44,,0.131002023,0.44,,0.167314769,0.44,,0.220541077,0.44,,0.101498953,0.44,,0.120268229,0.44,,0.185996053,0.44,,0.186793274,0.44,,0.182840456,0.44,,0.092584983,0.44,,0.09841675,0.44
0.188125351,0.46,,0.239273297,0.45,,0.15966709,0.45,,0.093137894,0.45,,0.151138138,0.45,,0.145944488,0.45,,0.1598198,0.45,,0.232024977,0.45,,0.235293709,0.45,,0.15553931,0.45,,0.210555956,0.45,,0.210672807,0.45,,0.133380702,0.45,,0.112924864,0.45,,0.245582868,0.45,,0.133837133,0.45,,0.222819923,0.45,,0.18773533,0.45,,0.101219286,0.45,,0.103362311,0.45,,0.153466251,0.45
0.189822886,0.47,,0.153613207,0.46,,0.202822087,0.46,,0.187963881,0.46,,0.1520489,0.46,,0.130281095,0.46,,0.220396505,0.46,,0.24654778,0.46,,0.236073084,0.46,,0.245094319,0.46,,0.24698141,0.46,,0.179069897,0.46,,0.140996272,0.46,,0.093220495,0.46,,0.151051879,0.46,,0.116756949,0.46,,0.19355081,0.46,,0.138542037,0.46,,0.254108525,0.46,,0.238490133,0.46,,0.234897752,0.46
0.167880399,0.48,,0.193871658,0.47,,0.172070944,0.47,,0.096150482,0.47,,0.271034315,0.47,,0.260717011,0.47,,0.140009746,0.47,,0.157043366,0.47,,0.128101809,0.47,,0.252301046,0.47,,0.228828989,0.47,,0.263161376,0.47,,0.206700539,0.47,,0.253967825,0.47,,0.112962006,0.47,,0.113135591,0.47,,0.180221753,0.47,,0.235897685,0.47,,0.09787399,0.47,,0.16373294,0.47,,0.268674651,0.47
0.172818805,0.49,,0.263924747,0.48,,0.180416238,0.48,,0.202175911,0.48,,0.10512703,0.48,,0.120550686,0.48,,0.186170899,0.48,,0.245064684,0.48,,0.239332148,0.48,,0.183438991,0.48,,0.191066338,0.48,,0.116027704,0.48,,0.119376137,0.48,,0.169163315,0.48,,0.222643013,0.48,,0.090983915,0.48,,0.167888219,0.48,,0.216142289,0.48,,0.094295912,0.48,,0.141274743,0.48,,0.102545052,0.48
0.156954559,0.5,,0.221808268,0.49,,0.088949031,0.49,,0.106099962,0.49,,0.237456486,0.49,,0.208035906,0.49,,0.205472016,0.49,,0.176571678,0.49,,0.176868733,0.49,,0.083872151,0.49,,0.266045577,0.49,,0.251608117,0.49,,0.085183256,0.49,,0.173882101,0.49,,0.255682264,0.49,,0.123950091,0.49,,0.216911096,0.49,,0.163161881,0.49,,0.223220075,0.49,,0.089020459,0.49,,0.102576961,0.49
0.153902997,0.51,,0.204368253,0.5,,0.186473055,0.5,,0.079742701,0.5,,0.075407388,0.5,,0.155558971,0.5,,0.194425886,0.5,,0.212380869,0.5,,0.127805423,0.5,,0.166702789,0.5,,0.134061009,0.5,,0.170502634,0.5,,0.257935168,0.5,,0.184482202,0.5,,0.096445095,0.5,,0.113736128,0.5,,0.127285458,0.5,,0.138414191,0.5,,0.261346544,0.5,,0.095100585,0.5,,0.156916833,0.5
0.162126653,0.52,,0.19344997,0.51,,0.184403085,0.51,,0.155703271,0.51,,0.084903783,0.51,,0.162674961,0.51,,0.174143404,0.51,,0.15455348,0.51,,0.167544344,0.51,,0.157721738,0.51,,0.079644876,0.51,,0.136664082,0.51,,0.183850915,0.51,,0.120271892,0.51,,0.124124947,0.51,,0.208985967,0.51,,0.08689075,0.51,,0.071847025,0.51,,0.202983143,0.51,,0.247907349,0.51,,0.179790955,0.51
0.148886428,0.53,,0.096589604,0.52,,0.22470901,0.52,,0.075593389,0.52,,0.201168532,0.52,,0.185057858,0.52,,0.082603111,0.52,,0.197919713,0.52,,0.20158988,0.52,,0.167157465,0.52,,0.076942395,0.52,,0.089165363,0.52,,0.137191576,0.52,,0.252978329,0.52,,0.143599479,0.52,,0.189244369,0.52,,0.178236114,0.52,,0.236218783,0.52,,0.190661395,0.52,,0.243037606,0.52,,0.072869091,0.52
